,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14,Xc2.lambda15,Xc2.lambda16,Xc2.lambda17,Xc2.lambda18,Xc2.lambda19,Xc2.lambda20,Xc2.lambda21,Xc2.lambda22,Xc2.lambda23,Xc2.lambda24,Xc2.lambda25,Xc2.lambda26,Xc2.lambda27,Xc2.lambda28,Xc2.lambda29,Xc2.lambda30
0,ACJ35486@H,23.489754769175953,10.439891008522645,32.479660915403784,19.719794127209443,16.239830457701892,15.079842567866043,12.17987284327642,26.9697184386835,4.929948531802361,21.74977293442218,36.82961550228822,15.659836512783968,6.08993642163821,20.009791099668405,15.949833485242932,32.76965788786275,29.2896942183552,4.349954586884436,21.459775961963217,29.579691190814163,0.024051908940705476,0.023973573300628145,0.02402327254088715,0.024105614643846973,0.02309982451920022,0.02378305243325931,0.02376745144893817,0.023280717565226247,0.024046269220678904,0.02265034664455239,0.023028399279696354,0.02408187992510903,0.024413534079365855,0.022949195219370576,0.023553477163261873,0.023797058905174858,0.023531798059121617,0.02395108986041586,0.023879134261782314,0.023163829683231142,0.02374995039961579,0.023401749707490142,0.02402217902533885,0.0233521804733398,0.024524786393649627,0.023344846908873423,0.023492783570213605,0.022777564773549676,0.023711193926583482,0.024494364667930757
1,ATP16757@H,23.772167564978403,10.310819666737622,32.937340602078514,19.47599270383773,15.466229500106433,14.606994527878298,12.31570126860327,25.777049166844055,4.296174861140676,21.767285963112755,36.374280490991055,16.611876129743944,6.014644805596946,20.335227676065866,16.03905281492519,30.932459000212866,26.34987248166281,4.009763203731297,22.340109277931514,28.641165740937836,0.02405367018125962,0.024035934109570813,0.02407612267846121,0.02437975197251847,0.023053962301366332,0.0237508851103606,0.023792404411480245,0.023654245772981076,0.02392870267189625,0.023052215761119942,0.023511373660929914,0.024009464634929693,0.024173513840357833,0.022801457067558414,0.023409135469857584,0.02408100901098443,0.02379237796705567,0.02389190743687533,0.024380707842604054,0.023155156093227623,0.024054955309367767,0.023819022870422632,0.02433506762101938,0.023543558913947694,0.024289832443014928,0.023298803015595046,0.02365963171188991,0.023067595746811043,0.023984762298793694,0.02455111466436423
2,ATP16767@H,24.033990856769737,10.586400734529526,32.04532114235965,19.169968897661576,15.45042269363769,14.878184816095551,12.016995428384869,26.322942366938285,4.291784081566025,22.03115828537226,36.337105223925676,17.1671363262641,6.294616652963502,20.31444465274585,16.30877950995089,31.473083264817515,26.89518024448042,4.005665142794956,22.03115828537226,28.039655999564694,0.02413846478601522,0.024320491020758263,0.023974592780016818,0.024263564426567137,0.02346053483205959,0.023514959854530084,0.023583990329099067,0.023503945925979382,0.023907281368149895,0.023231474568969904,0.02338320900576531,0.02410292707784375,0.024006449991444922,0.022859015042501516,0.023635681017646886,0.024113605076163256,0.02375348051938303,0.02415067009876106,0.02457401869958727,0.023344946252101567,0.024059545477840002,0.023984194960165076,0.024109948749741632,0.0236104587774537,0.024136100352858916,0.023454542614147044,0.023806460112410895,0.023042532634214435,0.02380652316260926,0.024047451714146854
3,AFR79257@H,21.640367015054196,11.541529074695571,26.256978644932424,13.272758435899908,11.252990847828181,12.984220209032518,10.964452620960794,21.928905241921587,4.03953517614345,21.06329056131942,29.430899140473706,11.252990847828181,4.32807340301084,17.31229361204336,10.675914394093404,31.162128501678044,26.256978644932424,3.173920495541282,15.292526023971632,33.758972543484546,0.024727189019437806,0.024694297826621615,0.02269800818448819,0.02394622434666903,0.023741695850348653,0.024401824920950235,0.02296468183924197,0.023388748851060296,0.023378742020613626,0.02342436440720031,0.023920186117037775,0.023236086223484196,0.0234227900958167,0.023067525991599558,0.023337983586647616,0.023268766604234603,0.02384446184807702,0.023961343302487545,0.023687368497644502,0.02385248260240746,0.023784965659471656,0.023244227434746023,0.024390136984170238,0.022801671984948375,0.02460033518992408,0.023829775812594836,0.024038137898136906,0.02358404631580016,0.023918223773452787,0.024305479943296963
4,AFR79250@H,21.093415147664263,11.269084804916524,26.29453121147189,13.580691944386581,11.269084804916524,13.002790159519067,10.980133912482767,21.671316932531777,4.334263386506356,21.38236604009802,29.18404013580946,11.558035697350281,4.045312494072599,17.048102653591666,10.69118302004901,31.495647275279516,26.58348210390565,3.1784598167713276,15.314397298989123,34.09620530718333,0.024647717153904583,0.02463733764575939,0.022613195221803484,0.023801499724773228,0.023562730798475612,0.02443216271605804,0.023105220050689573,0.0233725558300017,0.023475989421485276,0.023379111696111537,0.023754505890667427,0.023540326431170544,0.023320374360588977,0.023141638919866668,0.023407345320938133,0.023222885616332123,0.02359016841134064,0.0241530429261723,0.02341815138882229,0.024070276605445213,0.02386417182252509,0.022796957485243997,0.024712846880140627,0.022822697006253136,0.024307678692991875,0.023993262709832666,0.023600427164225286,0.023858751718815914,0.02376866626135526,0.024677411694452308
5,AGN52936@H,24.982582266071404,12.491291133035702,21.85975948281248,18.736936699553553,11.92350517244317,20.156401601034883,13.059077093628234,26.11815418725647,5.961752586221585,21.008080541923682,34.067157635551915,14.478541995109564,5.961752586221585,20.156401601034883,17.601364778368488,38.041659359699636,26.11815418725647,2.8389298029626597,21.575866502516213,26.969833128145265,0.024424886513731744,0.024925771002373948,0.02248438894186396,0.02333573664234238,0.023986567538344168,0.023624575299526013,0.02291728642712231,0.02278810243068789,0.02402986376218294,0.024476656522430168,0.02398750850924535,0.023529950658069124,0.024226982791625523,0.023674011537296293,0.023664391822461713,0.024102160610010744,0.024836436236521816,0.02327061831976235,0.023890673520360717,0.024447648039502074,0.023466124637150615,0.024045228823490545,0.023877122736768865,0.02447842202063394,0.024147417261797036,0.023612337739197582,0.023575824545394707,0.023737831465529626,0.023776953833016572,0.024765539515293207
6,AID55066@H,24.87269194098811,13.00163442369833,21.763605448364597,18.654518955741082,11.87105751728978,19.785095862149632,13.00163442369833,26.00326884739666,5.652884532042752,20.633028541956044,33.917307192256516,14.414855556709018,5.93552875864489,20.06774008875177,17.523942049332533,37.87432636468644,26.00326884739666,2.826442266021376,21.48096122176246,27.13384575380521,0.024443794113291128,0.02504787502762588,0.022423248331452685,0.023339818916789767,0.024081520788182233,0.023699000421624736,0.022958628869155662,0.02281013361958512,0.024057386134980683,0.024473027302386263,0.023900953359901583,0.023626041686869888,0.024365156014176055,0.02366383759274809,0.023643090564388305,0.02422565567510029,0.024856223797839253,0.023315039696139486,0.02394880888285514,0.024513157369446658,0.023439869564829675,0.024101389117440437,0.023978303369053648,0.02456974156681157,0.024139650985375745,0.02361553996092349,0.023652002881678177,0.023737794007830923,0.02388451162318805,0.024844572156191867
7,AID55067@H,24.87269194098811,13.00163442369833,21.763605448364597,18.654518955741082,11.87105751728978,19.785095862149632,13.00163442369833,26.00326884739666,5.652884532042752,20.633028541956044,33.917307192256516,14.414855556709018,5.93552875864489,20.06774008875177,17.523942049332533,37.87432636468644,26.00326884739666,2.826442266021376,21.48096122176246,27.13384575380521,0.024443794113291128,0.02504787502762588,0.022423248331452685,0.023339818916789767,0.024081520788182233,0.023699000421624736,0.022958628869155662,0.02281013361958512,0.024057386134980683,0.024473027302386263,0.023900953359901583,0.023626041686869888,0.024365156014176055,0.02366383759274809,0.023643090564388305,0.02422565567510029,0.024856223797839253,0.023315039696139486,0.02394880888285514,0.024513157369446658,0.023439869564829675,0.024101389117440437,0.023978303369053648,0.02456974156681157,0.024139650985375745,0.02361553996092349,0.023652002881678177,0.023737794007830923,0.02388451162318805,0.024844572156191867
8,ASU45807@H,24.6392778944273,12.744454083324465,21.523966896281316,18.69186598887588,11.894823811102833,19.824706351838056,13.027664174065007,26.055328348130015,5.947411905551417,20.674336624059688,33.98521088886524,14.443714627767726,5.947411905551417,20.39112653331914,17.559025625913705,38.516572340713935,26.055328348130015,2.8321009074054366,21.523966896281316,26.904958620351646,0.024423184844779195,0.0250004667819227,0.022482441318152645,0.023333754531939522,0.024044892090426876,0.02367306239618482,0.02296338783829673,0.02282042524999767,0.024053529841312298,0.024480147662316695,0.023956225466310262,0.023600562588723378,0.024289869602278392,0.023673065643814044,0.023659903180177057,0.024145064627672977,0.024848709032165475,0.023247031684411706,0.02387981219994478,0.024407233042869608,0.023494709422962258,0.02408141542320208,0.023933867061103075,0.02455380794078478,0.024124321525909213,0.023616951043721187,0.023625118577321427,0.02371689446046532,0.023836572207740363,0.02482348197254973
9,ALJ53431@H,22.691792992243993,11.787944411555323,33.59564157293267,16.50312217617745,13.261437462999737,17.09251939675522,8.54625969837761,24.16528604368841,6.483369426355427,23.28119021282176,39.48961377871033,12.672040242421971,3.5363833234665965,22.691792992243993,13.55613607328862,38.016120727265914,30.94335408033272,3.83108193375548,20.628902720221813,36.83732628611038,0.024655740086986195,0.02391098109636279,0.022587101375438002,0.023464129132984606,0.023465602179556025,0.023895438301291455,0.02336317033303319,0.02304264737454644,0.023991158211633577,0.023262667498312534,0.02316042594550099,0.023960379009902607,0.023422037234865557,0.02249822505570896,0.02397015286460256,0.023225719071107914,0.02303122146359845,0.023441842373846333,0.023683351074840216,0.023479330853273153,0.023344771318936072,0.02297465798055903,0.024345871660538063,0.022204223526016226,0.02433044697796881,0.023470549626890692,0.023888819909061252,0.022993659309566664,0.023770709288775407,0.024466359575413328
