,#,target
0,ACJ35486@H,1
1,ATP16757@H,1
2,ATP16767@H,1
3,AFR79257@H,1
4,AFR79250@H,1
5,AGN52936@H,1
6,AID55066@H,1
7,AID55067@H,1
8,ASU45807@H,1
9,ALJ53431@H,1
10,AOG74783@H,1
11,ARK08679@H,1
12,ARU07610@H,1
13,ARK08670@H,1
14,ARK08627@H,1
15,ARK08635@H,1
16,ARK08642@H,1
17,ARK08651@H,1
18,ARK08661@H,1
19,ARU07587@H,1
20,ARU07601@H,1
21,ARU07568@H,1
22,ARU07594@H,1
23,APT69890@H,1
24,APT69883@H,1
25,APT69869@H,1
26,APT69849@H,1
27,APT69876@H,1
28,APT69862@H,1
29,APU51916@H,1
30,APU51926@H,1
31,APU51936@H,1
32,ARB07433@H,1
33,ARB07425@H,1
34,ARE29973@H,1
35,ARB07608@H,1
36,ARA15421@H,1
37,ARB07599@H,1
38,ARB07438@H,1
39,ARB07617@H,1
40,ARB07414@H,1
41,ARB07406@H,1
42,ARK08620@H,1
43,ARE29961@H,1
44,ARE29990@H,1
45,ARE30017@H,1
46,ARE29999@H,1
47,ARE30008@H,1
48,ARE29985@H,1
49,ARE29979@H,1
50,ARE29967@H,1
51,ARB07420@H,1
52,ARB07399@H,1
53,ARB07392@H,1
54,ARA15429@H,1
55,APT69856@H,1
56,AZS52618@H,1
57,QEO75985@H,1
58,QEG03731@H,1
59,QEG03757@H,1
60,QEG03785@H,1
61,QEG03794@H,1
62,QEG03814@H,1
63,QEG03803@H,1
64,QEG03748@H,1
65,QEG03740@H,1
66,QEG03776@H,1
67,QEG03767@H,1
68,AGT51366@H,1
69,AGT51412@H,1
70,AGT51660@H,1
71,AGT51670@H,1
72,AGT51680@H,1
73,AGT51580@H,1
74,AGT51640@H,1
75,AGT51338@H,1
76,AGT51394@H,1
77,AGT51352@H,1
78,AGT51541@H,1
79,AGT51373@H,1
80,AGT51471@H,1
81,AGT51461@H,1
82,AGT51422@H,1
83,AGT51690@H,1
84,AGT51359@H,1
85,AGT51324@H,1
86,AGT51387@H,1
87,AGT51570@H,1
88,AGT51770@H,1
89,AGT51720@H,1
90,AGT51345@H,1
91,AGT51700@H,1
92,AGT51760@H,1
93,AGT51481@H,1
94,AGT51630@H,1
95,AGT51750@H,1
96,AGT51600@H,1
97,AGT51521@H,1
98,AGT51780@H,1
99,AGT51551@H,1
100,AGT51710@H,1
101,AGT21360@H,1
102,AGT21367@H,1
103,AGT21345@H,1
104,AGT51650@H,1
105,AGT51561@H,1
106,AGT51790@H,1
107,AGT51451@H,1
108,AGT51590@H,1
109,AGT51441@H,1
110,AGT51800@H,1
111,AGT51531@H,1
112,AGT51610@H,1
113,AGT51501@H,1
114,AGT51620@H,1
115,AGT51511@H,1
116,AGT51491@H,1
117,AGT51730@H,1
118,AGT51331@H,1
119,AGT51380@H,1
120,ADC35483@H,1
121,ADC35497@H,1
122,ACQ82725@H,1
123,AEN19358@H,1
124,AEN19366@H,1
125,AFD98785@H,1
126,AFD98792@H,1
127,AFD98799@H,1
128,AFD98806@H,1
129,AFD98813@H,1
130,ADN03339@H,1
131,AFD98820@H,1
132,AIV41891@H,1
133,AFD98827@H,1
134,AFD98834@H,1
135,AIV41795@H,1
136,AIV41855@H,1
137,AIV41861@H,1
138,AIV41801@H,1
139,AIV41807@H,1
140,AIV41813@H,1
141,AIV41825@H,1
142,AIV41903@H,1
143,AIV41987@H,1
144,AIV41867@H,1
145,AIV41909@H,1
146,AIV41915@H,1
147,AIV41921@H,1
148,AIV41927@H,1
149,AIV41933@H,1
150,AIV41939@H,1
151,AIV41945@H,1
152,AIV41951@H,1
153,AIV41957@H,1
154,AIV41963@H,1
155,AIV41975@H,1
156,AIV41981@H,1
157,AFD98771@H,1
158,AIV41999@H,1
159,AFO70497@H,1
160,AFQ55884@H,1
161,AFD98764@H,1
162,AFD98757@H,1
163,AIV41993@H,1
164,AFD98778@H,1
165,AFD98750@H,1
166,ACT11030@H,1
167,AMN88686@H,1
168,AMN88694@H,1
169,AGW27836@H,1
170,AGW27854@H,1
171,AGW27872@H,1
172,AJC98135@H,1
173,AGW27863@H,1
174,AGW27881@H,1
175,AGW27845@H,1
176,AGT17769@H,1
177,AIV41777@H,1
178,AIV41783@H,1
179,AIV41969@H,1
180,AWK59949@H,1
181,AWK59931@H,1
182,AWK59961@H,1
183,AWK59967@H,1
184,AWK59973@H,1
185,AJC98127@H,1
186,AWK59955@H,1
187,AWK59943@H,1
188,AIV41789@H,1
189,AIV41819@H,1
190,AIV41831@H,1
191,AIV42005@H,1
192,AIV42011@H,1
193,AOL02453@H,1
194,AMK59677@H,1
195,AIX09799@H,1
196,AIX09807@H,1
197,AIV41837@H,1
198,AQN78656@H,1
199,AIV41849@H,1
200,AIV41897@H,1
201,AQN78664@H,1
202,AGH58717@H,1
203,AQN78672@H,1
204,AIV41873@H,1
205,AIV41879@H,1
206,AIV41885@H,1
207,AQN78680@H,1
208,AQN78688@H,1
209,AQN78696@H,1
210,AIV41843@H,1
211,AFS88936@H,1
212,YP_009047204@H,1
213,AGV08408@H,1
214,AQN78704@H,1
215,AQN78712@H,1
216,AQN78720@H,1
217,AQN78728@H,1
218,AQN78736@H,1
219,AQN78744@H,1
220,AQN78752@H,1
221,AQN78760@H,1
222,AFY13307@H,1
223,YP_007188579@H,1
224,AGG22542@H,1
225,AGV08379@H,1
226,AGV08584@H,1
